Timestamp,Subject ID,Snellen chart ,Ishihara's tests,Order,Wiek,Wykszta?cenie,"Jak najcz??ciej ogl?da Pani/Pan tre?ci wideo (programy, filmy, teledyski itd.)",Czy posiada Pani/Pan telewizor w domu w którym Pani/Pan mieszka?,P?e?,"Jak czesto oglada Pan/Pani filmy, programy itd.",Timestamp,Subject ID,Co podoba?o si? Pani/Panu w tej sesji,Co NIE podoba?o si? Pani/Panu w tej sesji,Co podoba?o si? Pani/Panu w tej sesji,Co NIE podoba?o si? Pani/Panu w tej sesji,Co podoba?o si? Pani/Panu w tej sesji,Co NIE podoba?o si? Pani/Panu w tej sesji,Co podoba?o si? Pani/Panu w tej sesji,Co NIE podoba?o si? Pani/Panu w tej sesji,Co podoba?o si? Pani/Panu w tej sesji,Co NIE podoba?o si? Pani/Panu w tej sesji,Co podoba?o si? Pani/Panu w tej sesji,Co NIE podoba?o si? Pani/Panu w tej sesji,Czy instrukacja i sesja treningowa wyja?nia jak b?dzie przeprowadzany eksperyment? Czy brakowa?o Pani/Panu jakiej? informacji? Je?eli tak to jaka to informacja? ,W jaki sposób podejmowa?a Pani/Pan decyzj? o jako?ci sekwencji?  ,Cz??? filmów powtarza?o si? wielokrotnie. Jak to wp?ywa?o na sposób oceny jako?ci przez Pani?/Pana?,Niektóre filmy pojawia?y si? tylko raz. Jak to wp?ywa?o na sposób oceny jako?ci przez Pani?/Pana?,Je?eli Pani/Pan zobaczy? now? tre??/film jak zainteresowanie samym filmem wp?ywa?o na sposób oceny lub sam? ocen? jako??i?,Czy eksperyment by?:,Kiedy ?atwo by?o si? Pani/Panu skupi? na zadaniu?,Kiedy trudno by?o si? Pani/Panu skupi? na zadaniu?,"Czy stara?a si? Pani/Pan poda? t? sam? ocen? tylko dlatego, ?e film by?a podobna do poprzednio ocenionego? ",Czy uczestniczy?a Pani/Pan w eksperymencie subiektywnym? ,Na czym polega? ten eksperyment/eksperymenty? ,Prosz? porówna? dzisiejszy i poprzednie eksperymenty. Jakie cechy bardziej podoba?y si? w ka?dym z eksperymentów. 
2/4/2016 15:24:35,1/10/1900 0:00:00,"L,V,Z,L,P,O","12,8,5,29,71,7,45,2,-","10	3_CD	1_SRC	2_RSRC	6_CD	5_CD	4_RSRC",1/20/1900 0:00:00,Studiuj?,"Na laptopie lub na telewizorze jak w domu, rzadko na telefonie",nie,M,1/3/1900 12:00:00,2/4/2016 15:23:57,10,Wi?kszo?? jest s?abej jako?ci. Nie obejrza? bym tych filmów. ?nieg by? myl?cy bo nie wiadomo czy to mia?o tak by? czy jest to s?aba jako??. ,,"Te same, ci?gle inna jako??, tylko raz to ze ?niegiem by?o dobrej jako?ci. Reszta s?aba.",,Wi?cej filmików bardzo dobrej jako?ci. Na cz??ci psu?o si? jak kamera lub obiekt by?y w ruchu.,,Pó? filmów bardzo dobrej jako?ci a pó? s?abej.,,Wyd?u?y?y si? przerwy pomi?dzy ocen? a ogl?daniem filmu.,,Te filmiki gwa?towniej si? urywa?y ni? poprzednie. Wcze?niejsze ko?czy?y si? spokojniej ????,,tak,Czy da?o si? zauwa?y? wszystkie szczegó?y,"Troch? nudno ogl?da? te same filmy, ale mo?na by?o zobaczy? ró?nice jako?ci na tym samym filmie.",Nie wp?ywa.,Raczej jest nie wa?na. Po zastanowieniu.,4,Na pocz?tku sesji.,Pod koniec sesji.,,Nie,,
2/5/2016 10:03:20,1/11/1900 0:00:00,"L,Y,Z,L,P,O","12,8,5,20,74,7,45,2,-","11	3_CD	2_RSRC	1_SRC	4_RSRC	5_CD	6_CD",1/28/1900 0:00:00,Wy?sze,"Na laptopie, telewizor bardzo bardzo rzadko, komórka w ogóle. Youtube. Kana?y tematyczne.",nie,M,1/0/1900 7:55:12,2/5/2016 9:49:20,11,By?y bardzo fajne widoki przedstawione. ,,Podoba?a si? ró?norodno?? przedstawienia ludzkich pasji z gatunku nietypowych.,,Aura która nam nie odpowiada daje wi?ksze szanse na gorsz? ocen? ni? inna sceneria.,"Druga sesja pozwala naj?atwiej ocenia? (RSRC). Przej?y?cie by?o wszystko przedstawiane, kolory. Raczej nie zauwa?y? Pan, ?e filmy by?y podobne.","Woda i przyroda wywo?uje pozytywne emocje i zawy?a ocen?. 
Przy zbli?eniu twarzy naj?atwiej oceni? zniekszta?cenie.",,Taka sama jak poprzednio. ?adny krajobraz winduje ocen?.,,"Przybli?enie obiektu, z pozycji jad?cego poci?gu daje tendencje do ni?szej oceny.","Ta sesja ze zbli?eniami na twarze, koncert i arty?ci ala cyga?scy oraz box by?o ?atwiej.",tak,Przejrzysto?? obrazu oraz brak takich kwadracików. Kolory te? istotne. Pewne kolory za?miewa?y obraz nawet jak jako?? by?a gorsza.,Trudniej oceni? bo pojawia?a si? my?l jak to oceni?em wcze?niej.,"Nie ma tendencji do przypominania sobie, wi?c chyba lepiej. Cho? mo?e powtarzanie jest bardziej wiarygodne.",Na pocz?tku znacznie a potem stara? si? Pan to niwelowa? (np. niebieski kolor). Potem bardziej zobiektywizowane.,5,W taj serii gdzie zbli?enia na twarze. Tam gdzie najprzejrzy?ciej. ,"Gdy by? filmik by? trudny do oceny. Zw?aszcza z ulew? ?nie?n?, nie wiadomo czy ?nieg to przy?miewa wszystko czy to wady systemu.",,Nie,,
2/5/2016 12:00:11,1/12/1900 0:00:00,"L,Y,Z,L,P,D","12,8,5,29,74,7,45,2,-","12	1_SRC	2_RSRC	3_CD	5_CD	4_RSRC	6_CD",1/27/1900 0:00:00,Wy?sze,Studentka filmoznastwa. Nigdy na telefonie. Na dobrej jako?ci tablecie. Zasadniczo w kinie lub z projektora. Nie na telewizorze. Praktycznie tylko filmy.,nie,K,1/3/1900 0:00:00,2/5/2016 11:56:48,12,"Utrudnia ocen? je?eli du?o filmików pod rz?d jest w podobnej jako?ci bo cz?owiek zaczyna si? doszukiwa? problemów.
Dylemat mi?dzy jako?ci? z?? a s?ab?. Bo na youtubie ogl?da si? s?ab? jako?? bo tre?? si? liczy. Jak si? pozna te pierwsze przyk?ady to dopiero buduje si? skal?.
Uwaga z gwiazdk? - napis ""end less"" w rogu filmu z ulic? jest zabawny jak ogl?da si? to ci?gle i ci?gle -> ""end less"" ;)",,Teraz ju? nie ma uwag.,,Brak,"Naj?atwiej gdzie si? powtarza?y. Ale tam gdzie s? ró?ne te? ?atwe. W ?rodkowej RSRC tam by?o najtrudniej, pojawia? si? dylemat.","Tak sobie pomy?la?am, ?e najtrudniej jest jak ca?e uj?cie jest wysokiej jako?ci i tylko momenty gdzie przy przej?ciu s? b??dy. Trudno oceni? zmienn? jako??.",,brak.,,brak,,tak,"Przede wszystkim ogólny stan obrazu, na ile jest wszystko czytelne i dok?adne. Pó?niej bardziej si? wyczuwa?am na elementy w ruchu. Przej?cia montarzowe gdzie co? si? dzia?o. Rzadko zaznacza?am bardzo dobre. Chyba to zale?a?o od uj?cia, nie koniecznie tylko dobrej jako?ci. To by?o troch? subiektywne. Miejskie szare uj?cia to raczej nie mia?y szans na bardzo dobre (raczej skala od dobre do z?e). Te po?rodku to by?y ogólnie ok tylko z?e mankamenty, ale uj?cie ok.","Hmm. Wydaje si?, ?e by?o ?atwiej.",Trudniej bo trzeba pozna? uj?cie ?eby oceni? jako??. Tamte ?atwo porównywa?.,"Wydaje si?, ?e jest wp?yw tre?ci na ocen?. Wp?ywa tre??.",2,Na pocz?tku ?atwiej. Potem zm?czenie daje zna?.,Na ko?cu. Ostatnia sesja to s?abo.,,Nie,,
2/5/2016 14:00:33,1/13/1900 0:00:00,"L,Y,Z,L,P,D","12,8,5,29,74,7,45,2,-","13	1_SRC	3_CD	2_RSRC	5_CD	6_CD	4_RSRC",1/28/1900 0:00:00,Studiuj?,"Na laptopie, Nie ogl?dam za du?o, czasami na telefonie. Informacyjne, wiadmomo?ci co si? dzieje na ?wiecie. Zawsze jak jem to co? ogl?dam.
",nie,M,1/1/1900 12:00:00,2/5/2016 13:59:25,13,"Pod koniec by?o naprawd? z?ej jako?ci, wi?c z?e z pocz?tku sesji by?oby s?abe gdyby pojawi?o si? na ko?cu.",,Nie powtarza?y si? ?adne filmiki. Ci??ej okre?li? co jest lepszej i gorszej jako?ci - brak porównania.,,"Kilka filmów by?o cz??ci? innego filmu ...
Naj?atwiej oceni? jako?? jak si? powtarza?y. Najtrudniej jak wszystkie inne. ",,?atwiej by?o oceni? te które ju? by?y. Te nowe ci??ej si? odnie??.,,"Du?y wp?yw ma jednak jaka tre??. Jak postacie mówi? to mo?e by? mniejsza jako?? czyli gorsza b?dzie oceniona wy?ej. Dla pejza?y powinna by? lepsza jako??, czyli ?rednia jest ju? s?aba.",,"Chyba du?e znaczenie ma to co by?o wida?, dla nurków czy pejza?u to istotne. ",,tak,"Pejza?e musz? mie? lepsz? jako?? ni? wywiad. Dla przyk?adu dla boksera to jako??, któr? dla pejza?u oceni? bym niska ocenia?em wysoko, bo dla boksera mo?e by?. P?ynno?? by?a taka sama ale pikseloza si? robi?a. Brak widoczno?ci pikselozy, kolory i p?ynno?? raczej w porz?dku.",?atwiej okre?li? jako?? jak ogl?dam ten sam film w kilku jako?ciach.,Trudniej oceni?.,"Pejza?e musz? mie? lepsz? jako?? ni? wywiad. Dla przyk?adu dla boksera to jako??, któr? dla pejza?u oceni? bym niska ocenia?em wysoko, bo dla boksera mo?e by?. ",4,Po przerwie i na pocz?tku. Potem robi?o si? monotonnie i ci??ej by?o si? skupi?.,Pod koniec by?o najtrudniej. Od po?owy sesji by?o monotonnie i ci??ej by?o si? skupi?.,,Nie,,
2/8/2016 9:57:00,1/14/1900 0:00:00,LYZ DPL,12 8 5 29 74 7 45 2 8 16 ? 35 96 ,"14	2_RSRC	1_SRC	3_CD	6_CD	4_RSRC	5_CD",1/23/1900 0:00:00,?rednie,najcz??ciej na komputerze,posiada,M,codziennie 1-2h,2/8/2016 9:56:16,14,generalnie te same filmy by?y wu?wietlane w ró?nych jako?ciach. Wida? by?o ?e mniejsza jako?? to obraz by? mniej szczegó?owy.,,"Generalnie to podobnie tak jak wcze?niej, szczegó?ów wi?cej jak jest lepsza jako??. Teraz zauwa?y?em, ?e kolorów trudno odró?ni? gdy jako?? gorsza, bo si? zlewaj? ze sob?.",,"nic nowego si? nie pojawi?o. Przy gorszej jako?ci klip z lasem i matka z dzieckiem i dopiero pod sam koniec zwróci?em uwag? ?e co? si? rusza, co? idzie.",,nic nowego,,nic nowego,,"zauwa?y?em, ?e jak jest lepsza jako?? to wszytko widzimy od razu, przy gorszej jako?ci musimy si? zastanowi? co w?a?ciwie widzimy.",,wszystko jasne,"tak naprawde patrzy?em sugerowa?em si? ilo?ci? pikseli, im bardziej obraz by? p?ynny - mniej tych pikeslei tym wi?szk? jako?? dawa?em",mog?em sobie porówna? dok?adnie na jednym rodzaju klipu czy jakosc jest lepsza cz gorsza,nie mia?em tego porównania,"ci??ko stwierdzi?, generalnie zwraca?em uwag? tylko na jako??, nie skupia?em si? na tre?ci filmu tak jak by?o to mówione w intsturkcji",4,"przy gorszych filmach ?atwiej by?o stwierdzi? ?e jako?? jest najgorsza, gdy jako?? filmu by?a lepsza trzeba si? by?o bardziej zastanowi? czy ta jako?? by?a dobra czy bardzo dobra",trudno gdy by?y lepszej jako?ci,"chyba nie, chyba tym si? nie sugerowa?em",Nie,,
2/8/2016 11:46:30,1/15/1900 0:00:00,LYZ DPL,"12,8,5,29,74,7,45,2,8,16,?,35,96,?","15	2_RSRC	3_CD	1_SRC	6_CD	5_CD	4_RSRC",1/22/1900 0:00:00,Studiuj?,"na laptopie, ostatnio netflixa",nie,K,"codziennie, 1,5 - 2 godzin",2/8/2016 11:46:05,15,nie wiem czy mam jakie? szczególne odczucia,,wiewiórka mi si? podoba?a,,najgorsze by?y te w z?ej jako?ci ze ?niegiem - na to si? w ogóle patrze? nie da?o,,nie mam zdania,,nieee,,nic konkretnego,,wszystko jasne,"je?li widzia?am pojedyncze pikesle to s?abo i te? nasycenie kolorów by?o istotne, je?li nie umia?a czego? rozpozna? w góle to by?y ?le","porównywa?am je ze sob?, na pewno. w tych takich gdzie zabawki by?y ustawione, w ogóle nie widzia?am co jest w ?rodku, w tych innych lepiej widzia?am to dawa?am lepsze oceny",nie wiem szczerze mówi?c,no stara?am si? ?eby jak najmniej,4,zasadniczo nie mia?am ró?ni? w poziomie skupienia przez ca?y eksepryment,nie by?o takiego momentu,nie,Nie,,
2/8/2016 13:43:58,1/16/1900 0:00:00,LYZ DPL,"12, 8, 5, 29, 74, 7, 45, 2, 16, 35, 96, ","16	3_CD	1_SRC	2_RSRC	4_RSRC	5_CD	6_CD",1/21/1900 0:00:00,Studiuj?,najcz??ciej laptop/komputer no i telewizj?,tak,M,"codziennie, oko?o 0,5h",2/8/2016 13:38:13,16,"po?owa dobrej jako?ci po?owa s?abej jako?ci, co mog? powiedzie??",,"mniejsza ilo?? filmików, pro?ciej by?o ocenia?, fajnie by?o prównywa?, pro?ciej by?o ocenia? ni? we wcze?niejszej sesji.",,"ciekawsze fimiki, pokazuj?ce wi?cej obrazów realistycznych",,"wi?kszo?? filmików by?a w dobrej jako?ci, gdy pojawia?y si? filmiki gorszej jako?ci wtedy gorzej by?o oceni?, trtudniej bo mia?o si? obraz idealnej jako?ci.",,"na pewno by?a du?a ilo?? filmików i by?o fajne porównanie, dobry kontrast, pojawia?o si? kilkana?cie ró?nych jedne mia?y fajne kolory, dzi?ki temu by?o fajne porównanie.",,"ró?ni?a si? od poprzedniej, nie by?o szybszych ruchów, mia?em wi?cej czasu na ocen? scen, by?o wi?cej powolnych ruchów",,wszystko by?o jasno powiedziane,patrz?c na rozdzielczo?? obrazu i wzoruj?c si? na tych najlepszych filmikach,na pewno ocena by?a trudniejsza ale bardziej efektywna bo mia?em szeroki kontrast,"na pewno korzystniej, bo wydawa?y si? ciekawsze",my?l? ?e nie mia?o to zbyt du?ego wp?ywu,4,najbardziej wtedy gdy by?a ró?na ilo?? filmików,"jak by?a ma?a ilo?? filmików jednej sesji, bo stawa?o si? to chwilami nudne","nie, my?l?, ?e nie",Nie,,
2/8/2016 15:36:46,1/17/1900 0:00:00,LYZ DPL,"12, 8, 5, 29, 74, 7, 45, 2, ?, 16, ?, 35, 96,?","17	3_CD	2_RSRC	1_SRC	4_RSRC	6_CD	5_CD",1/28/1900 0:00:00,Studiuj?,z komputera,nie,K,"codzienna, do pó? godziny",2/8/2016 15:36:06,17,"mam wraznie, ?e by?y fragmenty obrazu by?y zatarte a w innych bardziej wyraziste. By?am sk?onna bardziej pozytywnie ocenia? filmy gdzie by?o wi?cej ?wiat?a. Mia?am problem z rozró?nieniem bardzo z?ej jako?ci od s?abej.",,tym razem ci??ej by?o rozró?ni? obraz bardzo dobry od dobrego,,nie mam ?adnych komentarzy,,"zuwa?y?am, ?e fragmenty poszczególnych filmów maj? ró?n? rozdzielczo?? - s? ró?nej jako?ci na podstawie tego kryterium trudno mi by?o zdecydowa? jak oceni? dany filmik",,nie mam ?adnych komentarzy.,,"uswiadomi?am sobie, ?e przynajmniej raz ocenia?am na podstawie tego co ju? widzia?em wcze?niej. Zdarza?y si? filmy które ocenia?am bardziej pozytywnie ni? poprzednio. Nie jestem pewna czy do ko?ca na pewno ocenia?am jako??.",,wszystko by?o jasne,spontanicznie,"w przypadku filmu gorszej jako?ci, gdy zobaczy?am obraz lepszy, nie oceniam?am czy obraz jest dobry czy bardzo dobry, dawa?am ?e lepszy",nie mia?o ?adnego wp?ywi,"nie powinno mie? wp?ywu, ale mia?o pozytywny wp?yw na ocen?",5,"wydaje mi si?, ?e na pocz?tku, potem by?o znu?enie","ostatnie pó? godziny, taka pora dnia te?",nie,Nie,,
2/8/2016 18:18:51,1/18/1900 0:00:00,LYZ DPL,"12, 8, 5 , 29, 74, 7 ,45, 22 ,16, ?, 35, 96, ?","18	1_SRC	2_RSRC	3_CD	5_CD	6_CD	4_RSRC",2/8/1900 0:00:00,?rednie,"najcz??ciej na komputerze, potem w kinie, telewizja niezwykle rzadko - g?ownie przypadkowo",posiadam ale nie u?ywam - schowany jest. Nie potrzebuj? - od dobrych 10 lat nie ogl?dam telewizji,M,"co najmniej kilkana?cie razy dziennie, minimum godzin? - zale?y jak jestem ob?o?ony prac?. Srednio 3 godziny dziennie.",2/8/2016 18:17:34,18,"troch? by?em zdezorientowany, poniewa? ?aden z filmów nie spe?ni? moich wymaga?. potem si? okaza?o, ?e na tle tych które obejrza?em, te pierwsze mog?em oceni? wy?ej. Bardzo mi si? podoba? film ze spadaj?cym ?niegiem. nie najprzyjemniejsze by?o z zabawkami - bo i zestaw kolorów by? niefajny, sam efekt kr?cenia to nie najprzyjemniejssze by?o dla oka.",,"kilka razy mia?em wra?enie, ?e pocz?tek filmu by? gorszy ni? ko?cówka - nie wiedzia?em kiedy to ocenia?. W przypadku fimów o nurkowaniu nie by?em pewien co jest spowodowane z?? jako?ci?, a czy typ miejsca. Generalnie jak by?y wi?ksze piksele to dawa?em gorsz? jako??. Nie wiedzia?em jak ocenia? filmy kr?cone w nocy - czy to tak ma by? ?e jest mgie?ka. Filmy famenco - mia?em wra?enie, ?e s?ysz? co graj?. W przypadku koncertu rockowego - nie mia?em ?adnych wra?e?. ?rodowisko bokserów mnie niespecjalnie poci?ga, nie wzbudzi?o mi?ych emocji, ale wydaje mi si? ?e ocenia?em jako?? a nie moje podje?cie do tego co widzia?em.",,"tutaj na pewno jestem przekonany, ?e w kilku przypadkach na pocz?tku film by? w z?ej ako?ci a potem si? poprawia?a, a raz by?o odwrotnie  - by?a dobra jako?? a potem si? pogorszy?a. Sporo filmów by?o przydymionych i nie wiem jak mia?em to ocenia?. Znowu pojawi? si? efekt obracaj?cych si? elemetów i to wywo?a?o we mnie wra?enie, ?e stosuj? Pa?stwo jakie? obd?ce podprogowe. Filmy z górami wywo?a?y moj? t?sknot? do gór które uwielbiam i do lata.",,"kilka razy mia?em wra?enie, ?e cz???  jest dobrej jakosci a cz??? z?ej - obr?bie jednego kadru. Te? takie dziwne uczucie, ?e detale by?y ostre, a plany ogólne wygl?da?y na nieostre, jakby przydymione",,"kilka razy mia?em w?tpliwo?ci, bo np. w filmach ze ?niegiem, ostro?? by?a ustawiona na ma?y element z rogu ekranu - jako?? sama w sobei by?a bardzo dobrze, tylko ostro?? by?a ustawiona nie tam gdzie powinna by?",,"Na 100% jestem przekonany, ?e kilkana?cie razy widzia? filmy w tej samej jako?ci, a oceni?em go ró?nie. Np. raz da?em dobr?, a raz ?redni?.",,nie brakowa?o,"przygl?da?em si? przede wszystkim pikselom, odwzorowaniu szczegó?ów, szuka?em ostro?ci - na co jest ona skierowana. CHyba tyle","ocenia?em inaczej powtarzaj?ce si? filmy, ze wzgl?du na s?siedztwo filmów - na zasadzie t?a. Nawet maj?c ?wiadomo?? ?e oceniam film tej samej jako?ci.",próbuj? sobie przypomnie? taki który pojawi? swi? tylko raz. Nie pami?tam takich filmów.,"my?l?, ?e je?li by?em zainteresowany tre?ci? filmu to mog?em nie przyjrze? si? jako?ci i ocena nie by?a w 100% rzetelna. ",4,"wtedy kiedy widzia?em. Np. naj?atwiej by?o si? skupi? na filmie z tenisisami. Jak by?o najlepszej jako?ci to naj?twiej. Dobre, s?oneczne ?wiat?o u?atwia?o.Je?eli by?a du?a grupa ludzi jak na boisku to wtedy pierwszym zadaniem jakby które wykonywa? mój mózg to by?o ogarni?cie tej liczby ludzi, a potem jako?? ocenia?em. W przypadku po?aru mia?em negatywne emocje dotycz?ce tej sytuacji ale po dwóch sekundach uda?o mi si? przemóc to uczucie i skoncentrowa? si? na jakosci. Nie mog?em si? skupi? gdy kamera jecha?a nad torami - ruch plus nieostro?? utrudni?o mi ocen?. Ale np. z rowrzyst? by?o ?atwo mimo, ?e by? ruch. Padaj?cy ?nieg w pierwszych filmach rozkojarza? mnie, anga?owa? mnie ten widok, wi?c trudno by?o dokona? oceny jako?ci , te? wielo?? planów w tych scenach ze ?niegiem utrudnia?o ocen?.",,"nie, starta?em si? obiektywnie ocenia? ka?dy film",Tak,mia? wyszukiwa? na ekranie podobne figury i znaki - kreski ko?a,"zdecydowanie dzisiejszy by? ciekawszy, wywo?a? we mnie sporo ró?nych emocji, jakkolwiek nie jestem zwolennikiem sprotów ameryka?ckich, to du?o by?o filmów z przyrod?, oczywi?cie by?y takie które mnie kompletnie nie interesowa?y. W porównaniu do abstrakcyjnej kreski i kropki to nie ma co mówi?. Tutaj by?em d?u?ej skoncentrowany, bo tam po kilku minutach mia?em do??. Spodziewa?em si? jakiej? pu?apki - jakiego? podst?pu, ?e nie chodzi o jako?? tylko o por? roku na przyk?ad. Troch? podejrzliwie podszed?em do celu testu."
2/9/2016 10:11:16,1/19/1900 0:00:00,"L,T,Z,P.L,O","12,8,5,29,74,7,45,2,-","19	1_SRC	3_CD	2_RSRC	6_CD	4_RSRC	5_CD",2/11/1900 0:00:00,Wy?sze,"Na telewizorze, laptop lub tablet. Najwi?cej filmów instrukta?owych z youtuba. ",Tak,M,1/0/1900 18:00:00,2/9/2016 10:10:39,19,Trudno jednoznacznie oceni? te zdj?cia. Zw?aszcza ich jako??. Filmy prezentuj? ró?ne warunki. Dla przyk?adu kort tenisowy lub zabawki s? dobrze o?wietlone i te dwa filmy da si? porówna?. Ruch uliczny w warunkach ?niegu lub nocne to z?e warunki filmowania i tu ci??ko oceni? czy film da si? zrobi? w lepszej jako?ci. Ci??ko przez to oceni? jako??. Czyli ocenia Pan jako?? filmowania.,,?eby te zdj?cia obiektywnie oceni? trzeba je pogrupowa?: bliska daleka scena. Dobre ?wiat?o i s?abe ?wiat?o. Obrazy statyczne i dynamiczne. W obu tych sesjach by?a mieszanka parametrów dlatego trudno ocenia? obiektywnie. ?atwiej jak by mo?na powtórzy? film lub filmy by?y d?u?sze. Wtedy ocena bardziej obiektywna.,,"W stosunku do filmów gdzie jest scena bliska i dobre ?wiat?o jestem bardziej krytyczny. Dla dalekiej sceny i s?abego ?wiat?a jestem bardziej pob?a?liwy bo wiem, ?e trudniej jest uzyska? dobr? jako??. Nabieram do?wiadczenia i zaczynam zwraca? uwag? na rozmazania i zaci?cia oraz pikselizacja obrazu.","Sesja SRC jest ?atwiejsza do oceny bo oceniam kilkakrotnie ten sam film. Czyli mog? korygowa? swoje oceny. Dobrze, ?e to by?o na pocz?tku. Mog?em skalibrowa? mój system oceny. Te do?wiadczenia by?y wykorzystane w sesjach trudniejszych gdzie filmy si? nie powtarzaj? lub jest ci?g dalszy filmu. ?atwiej ocenia? ci?g dalszy filmu ni? absolutnie nowy temat. Bo jak jest nowy temat to w pierwszej kolejno?ci trzeba ustali? skal? oceny - czyli zdecydowa? jak trudne s? to warunki filmowania, czy korygowa? na plus - trudne warunki, daleka szybka ma?o do?wietlona scena czy korygowa? na minus - portretowych, dobrze o?wietlonych o ma?ej dynamice.","Naj?atwiej ocenia? filmy gdzie scena jest bliska i dobrze o?wietlona oraz ma?a dynamika ruchu. Najtrudniej daleka perspektywa, s?abe o?wietlenie i du?a dynamika. Mam wra?enie, ?e jako?? niektórych filmów jest selektywna, jest dobra jako?? pierwszej sceny a gorsza dalszych. Albo odwrotnie, obiekty pierwszej sceny s? ma?o ostre, ale dalsza scena jest dobra. Ma na to wp?yw ustawienie kamery i profili. Ustawienie fotografowania scen bliski i dalszych.",,"Nic nowego. Mog?o si? zdarzy?, ?e ten sam film zosta? oceniony raz wy?ej a raz ni?ej. Skrajnych ró?nic nie powinno by?. Przesuni?cie o jedno lub dwa punkty jest mo?liwy.",,"Ucz? si?, na pocz?tku filmiki wydawa?y si? za krótkie. Dobrze, ?e w pierwszej sesji by?a powtarzalno??. Nie jest to ?atwe badanie. Mia?em trudno?ci z ocen?. W drugiej sesji zwi?kszy? czas emisji filmu. Do ko?ca trudno?? z obiektami z du?? perspektyw? mi?dzy dobr? a bardzo dobr? jako?ci?. Punkty charakterystyczne kiedy s? dobra a kiedy bardzo dobre.",,tak,"Zwraca?em uwag? na kwestie techniczne. P?ynno??, ostro??, problemy takie jak pikselizacja i zacinanie. Wkrada? si? te? czynnik subiektywny pewne sceny uwa?a?em za trudne i lepiej bym ich nie sfilmowa? i te oceniane by?y wy?ej. By?a te? mniejsza cz??? scen, ?e mimo dobrej jako?ci technicznej wydawa?o mi si?, ?e uda?o by mi si? to lepiej sfilmowa? i wtedy dawa?em s?absz? ocen?. ",By?o to pomocne. Wr?cz konieczna. Przy analizie powinno si? oceni? ?redni? (???) to by? by wiarygodny wspó?czynnik. W kolejnych ods?onach korygowa?em swoje oceny. ,Trudniejsze przypadki. Powinny si? pokazywa? w sesjach ostatnich. ,"Wy??cza?em kwestie subiektywne, ?wiczy?em sporty walki a nie taniec ale nie bra?em tego pod uwag?. Te? nie ocenia?em s?abiej ta?ca bo si? nim nie interesuj?. ",5,Warunki do skupienia dobre tylko za krótkie filmy.,brak,,Nie,,
2/9/2016 13:57:41,1/20/1900 0:00:00,"lewe: Y,Z,N (10), L,Y,Z (3.3)","12,8,5,29,74,7,45,2,-","20	2_RSRC	1_SRC	3_CD	6_CD	5_CD	4_RSRC",1/24/1900 0:00:00,Studiuj?,Na PC lub laptopie. Telewizor bardzo rzadko a telefon w ogóle ,nie,M,1/0/1900 12:00:00,2/9/2016 13:57:12,20,"Pocz?tek dobrej jako?ci a potem sekunda dwie z?ej jako?ci i potem znowu dobra jako??. Pan stwierdza fakt, ?e tak jest. Tu si? waha w ocenie.",,brak,,brak,"Jak widzia?em pikseloze to by?a tragedia, jak nie wida? by?o pikselozy a obraz nie by? ostry to inaczej. Jak by? obraz to patrzy?em si? nie tylko na ?rodek, ale tak?e na rogach. ",brak,,brak,,brak,,tak,"Przedewszystkim pikseloza - z?a lub s?aba jak widoczna, jak brak pikselozy to ?rednia a brak pikselozy + ostry obraz w ka?dej cz??ci (nie tylko w centrum) to bardzo dobra.",Po d?u?szym czasie usypia. ,Bardzo dobrze. Jak rzadko tym lepiej. Mniej usypia.,"Nie, skupia? si? Pan na jako?ci.",3,Na pocz?tku.,Po pierwszej sesji ju? odczuwa? lekkie usypianie. By?o ci??ej. ,,Nie,,
2/9/2016 15:44:57,1/21/1900 0:00:00,"L,Y,Z,D,P,L","12,8,5,29,71,7,45,2,-","21	2_RSRC	3_CD	1_SRC	4_RSRC	5_CD	6_CD",1/21/1900 0:00:00,Studiuj?,"Na laptopie, brak telewizora, czasem w kinie, rzadko na telefonie
Zawsze jak co? robi? to w??czam sobie seriale. Z portalu z serialami. kinoman lub cda ",nie,K,1/5/1900 12:00:00,2/9/2016 15:42:40,21,brak,,brak,,brak,Pierwsza najgorsza. Bo jako?? by?a s?aba w wi?kszo?ci. Naj?atwiej ocenia si? SRC. ,T? si? najgorzej ogl?da?o. Bo wi?kszo?? filmików mia?a s?ab? jako??.,,brak,,ogólnie no to jak by?y kiepskiej jako?ci to najcz??ciej nie ostre lub nasycenie kolorów. Du?o za ?ó?tych. Brakowa?o ?ywych kolorów.,,tak,"Kierowa?am si? czy obraz jest ostry, nasyceniem kolorów czy s? ?ywe, czy s? realne. ",Stara?am si? oceni? tak jak my?la?am,Nie wp?ywa?o,"Nie, skupia?am si? na jako?ci. ",4,Jak obraz by? dobrej jako?ci.,"Dla obrazów po?rednich. (Brak zrozumienia pytania ???) Gdy by? ?nieg, gdy by? tak nie ostry, ?e si? wszystko zamazywa?o.",,Nie,,
